dataset_id,title,formats_available,has_supported_format,sized_format,file_count,size_bytes,size_mb,errors
1e8d7811-87ea-429a-8d97-4ea6bbf6e010,"Hovedled og Biled, arealavgrensning",FGDB;GML;POSTGIS;SOSI,True,FGDB,411,24587026,23.45,
f2c0561c-3c4f-4ec8-8a57-f2a27526c5e9,INSPIRE Transport Network Water,GML,True,GML,1,345946,0.33,
5bbce535-f909-44b8-b89f-1c395dc92598,Interkommunale brannvesen,FGDB;GML;POSTGIS;SOSI,True,FGDB,3,7269946,6.93,
0b57598e-768c-46cf-8af9-a04267fe833f,J1000 Kartdata,SOSI,False,SOSI,1,83274,0.08,
dc4b671f-f354-4e1f-a23b-dd717ae48e1b,Jernbane - Banenettverk - Lineære referanser,FGDB,True,FGDB,1,2382371,2.27,
c5f09d79-1546-495c-8b36-91efd4008bd7,Kart over grå arealer,GEOPACKAGE,True,GEOPACKAGE,373,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
eea87664-d936-478e-897a-c38ca7c478a0,Kirkebygg - forenklet,FGDB;GEOJSON;GML;GPKG,True,GPKG,682,4927950,4.70,
738d7288-f990-498b-9136-a8e9b24e9a10,Konnekteringspunkter mellom Norge og Finland,SHAPE,True,SHAPE,1,39740,0.04,
04761a69-4b64-4aac-b975-f9e0dcc8526b,Konnekteringspunkter mellom Norge og Sverige,SHAPE,True,SHAPE,1,68325,0.07,
3be8f59c-cf30-47b5-ab5d-61abab25942b,Korallrev - forbudsområder,FGDB;GML;SOSI,True,FGDB,35,1337399,1.28,
31edb985-138e-46a7-a910-a0c1cd9baf4c,Korallrev,FGDB;GML;POSTGIS;SOSI,True,FGDB,128,4470255,4.26,
68f6a2e5-8c8a-4976-870c-670add90fff6,Kulturminner - Brannvern,FGDB;GML;POSTGIS;SOSI,True,FGDB,189,5276546,5.03,
a4bfd879-120f-490e-9907-68ba870664b1,Kulturminner - Freda bygninger,FGDB;GML;POSTGIS;SOSI,True,FGDB,676,24095601,22.98,
17adbcac-bbb2-4efc-ab51-756573c8f178,Kulturminner - Kulturmiljøer,FGDB;GML;POSTGIS;SOSI,True,FGDB,497,33714904,32.15,
c72906a0-2bc2-41d7-bea2-c92d368e3c49,Kulturminner - Lokaliteter Enkeltminner og Sikringssoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,693,1014109338,967.13,
93f06149-037c-48cf-b294-d166f65b6838,Kulturminner - SEFRAK-bygninger,FGDB;GML;POSTGIS;SOSI,True,FGDB,680,159922613,152.51,
a29b905c-6aaa-4283-ae2c-d167624c08a8,Kvikkleire,FGDB;GML;POSTGIS;SOSI,True,FGDB,395,71899288,68.57,
22485273-dc0c-4484-a8be-357105d65689,Lufthavn-punkt Avinor,FGDB;GML;POSTGIS;SOSI,True,FGDB,19,619862,0.59,
fb59846b-edb3-4631-ba85-90dd0193e3be,Låssettingsplasser,FGDB;GML;POSTGIS;SOSI,True,FGDB,314,18480512,17.62,
06aed811-f575-4fc8-99b3-3379f61e401c,Mareano bunnprøver linjer,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,575235,0.55,
ccff1ba4-898b-4b47-a4a8-ba5466922d20,Mareano bunnprøver punkt,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,238242,0.23,
1f9e17d4-bf56-4bf4-a2a8-7d17a0873761,Mareano bunnprøvestasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,68873,0.07,
7bc25711-fc24-4a99-9e12-abbfb5de56cc,Mareano kjemistasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,62009,0.06,
c0dd755e-bcbf-4ada-bd4b-386dfbc37c92,Mareano referansestasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,303100,0.29,
8bb5b637-51a8-4f0d-905a-378493ae2354,Mareano videostasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,281913,0.27,
58710d15-bad5-40e1-bcce-29c4b67cc787,Mareanoprøver - Artsmangfold,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,320490,0.31,
45e9ba77-388c-40eb-87df-e34e9d9ab300,Markagrensen,FGDB;GML;GPX;POSTGIS;SOSI,True,FGDB,1,365603,0.35,
f7df7a18-b30f-4745-bd64-d0863812350c,Matrikkelen - Adresse,CSV;FGDB;GML;POSTGIS;SOSI,True,FGDB,683,933887070,890.62,
365b0591-b536-42a6-a20d-22e404fbfe55,Matrikkelen - Adresse Leilighetsnivå,CSV;FGDB;GML;POSTGIS;SOSI,True,FGDB,683,1415951723,1350.36,
24d7e9d1-87f6-45a0-b38e-3447f8d7f9a1,Matrikkelen - Bygningspunkt,FGDB;GML;POSTGIS;SOSI,True,FGDB,683,2837395994,2705.95,
74340c24-1c8a-4454-b813-bfe498e80f16,Matrikkelen - Eiendomskart Teig,FGDB;GML;POSTGIS;SOSI,True,FGDB,683,24557923931,23420.26,
cadd7b67-892b-44cb-8d9c-9cdf92d6d92b,Menneskelig påvirkning - Marint søppel per videotransekt,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,133227,0.13,
35869c89-6132-4183-8daa-6d0db92f4879,Menneskelig påvirkning - Marint søppel per videotransekt,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,130794,0.12,
d2d25fce-8fb6-4957-8fd9-95f5d79dcdd0,Menneskelig påvirkning -Tapte fiskeredskaper (langs videotransekt),FGDB;GML;POSTGIS;SOSI,True,FGDB,6,455132,0.43,
35ef918f-ecb2-47ac-953b-1479dc5579c9,Militære forbudsområder innen sjøforsvaret,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,378836,0.36,
11a70876-5b21-4cc6-8229-902266c4968f,N100 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,5055814264,4821.60,
d87fde8d-f151-4560-8aa1-7ecb6a5d90f4,N100 Raster (UTM33) - Rutevis,TIFF,False,TIFF,374,3610207652,3442.96,
aee42bb6-d0e9-4d70-86fe-6ea76c381055,N1000 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,29,66521455,63.44,
6a21de44-5a66-49b3-89e9-88c8bd0b948f,N1000 Raster,TIFF,False,TIFF,4,111297406,106.14,
b187c449-04ac-42fe-9eab-83d81bf338bc,N20 Bygning,SOSI,False,SOSI,357,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
c9e53371-c296-4631-a08d-2e7248a81757,N20 Kartdata,SOSI,False,SOSI,357,,,"access restricted (Norge digitalt-begrenset), size unavailable anonymously"
8d52075d-6ef6-4120-8041-d0c0901f21f7,N2000 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,29,17252032,16.45,
3a62a8dc-39ac-4309-a9e8-9e03ff1bfa87,N2000 Raster,TIFF,False,TIFF,1,48180895,45.95,
442cae64-b447-478d-b384-545bc1d9ab48,N250 Kartdata,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,1539059728,1467.76,
